Joke;Answer
Que dit le juge au manchot ?;Allez allez, témoignons !
Tu connais la blague du con qui dit non ?;Non…
Quel est le comble pour un plombier ?;Que ses clients prennent la fuite !
2 fesses se croisent;Alors, ça gaze ?
Où est fabriqué le viagra ?;Au Boukistan
Qu’est-ce qu’une gifle ?;C’est comme une bifle, mais avec la main !
Pourquoi j’ai appelé mon pénis Bidou ?;Parce que quand je vais pisser, je s’coue Bidou.
Quel est le seul instrument à vent avec une corde ?;Le string
Quand 2 poissons s’énervent..;Est-ce qu’on peut dire que le thon monte ?
Pourquoi les hommes amènent-ils leur femme en vacances ?;Pour que les vacances paraissent plus longues...
Que fait Jean quand il voit une femme crocodile ?;Il lacoste !
Qu'est-ce qui commence par un E, finit par un E et qui ne contient qu'une lettre ?;Une enveloppe !
Qu’est-ce qui se lève quand tu t’en sers, qui s’abaisse quand tu as fini de t’en servir et qui goutte après usage ?;Un parapluie
Babi et Baba sont sur un bateau Baba tombe à l’eau. Que se passe-t-il ?;Babi bêle et Baba coule
Que s'est il passé en 1769 ? Napoléon est né ! Et que s'est il passé en 1789 ?;Il a eu 20 ans !
Rien ne sert de courir...;... Je suis déjà en retard
Quand mon verre est plein, je le vide;Quand mon verre est vide, je me plains !
Attention au chien ! ;Il est si petit que vous pourriez marcher dessus 
Ne pas déranger svp ;Je n'ai pas rangé pour rien... 
Merci de ne pas frapper;Et soyez gentil, de ne pas sonner non plus
N'hésitez pas à demander si la maison fait crédit;Nous avons une façon absolument délicieuse de refuser 
Sur ce serveur le 12 mai 2020;Il ne se passa strictement rien 
Pourquoi la girafe se fait arrêter par la police ? ;Parce que c’est un cou-monté !
Pourquoi les coccinelles n’aiment-elles pas courir ?;Parce qu’elles ont toujours des points de cotés !
On ne dit pas démanger;On dit vomir
Que disait Eve pour faire avancer le bâteau;Ramadan
Que signifie expatriées ?;Anciennes petites amies non rangées
Qui est l'idiot qui a créé la cédille ?;Monsieur Duçon
Que signifie Mercato ?;C'est une maman pratiquante
Tu sais ce que c'est un suppositoire ?;C'est une invention qui restera dans les annales
Les pharmacies...;... c'est les confiseries des vieux
Une jardinerie est un endroit merveilleux;Si tu te prends trois râteaux on t'offre une pelle
Pourquoi Toto veut se marier avec la mère de son père ?;Ben son père s'est bien marié avec la sienne...
Que demande un chat dans une pharmacie ?;Avez-vous du sirop pour ma toux ?
Que faisaient les dinosaures quand ils n'arrivaient pas à se décider ?;Des tirageosaures
Que fait un hibou dans une bibliotheque ?;Hibouqine !
Pourquoi est-ce qu'on met tous les crocos en prison ?;Parce que les crocos dealent.
Quel est le jambon que tout le monde déteste ?;Le sale ami.
Que dit un éléphant sans corne ?;Je suis sans défense.
Quelle est la différence entre toi et un sapin ?;Un sapin c'est un conifère et toi t'es con et on peut rien y faire
Ta mère est tellement grosse;Que quand elle sort y a une éclipse
Tout est bon dans le cochon;Je ne mangerai pas ta mère pour autant
Vous saviez que la famille Le Pen a du sang arabe ?;Sur le capot de leur voiture...
Quelle est l'émission TV préférée des jardiniers constipés ?;Silence ça pousse
Qu'est ce qu'une frite enceinte ?;Une patate sautée
Que dit un coronavirus quand il braque une banque ?;Donner moi l'argent, sinon je fais toussoter !
Qu’est-ce qu’un homme avec une mitraillette dans un champ de blé ?;Un céréales killer.
Peux-tu me dire si le clignotant fonctionne ?;Oui, non, oui, non, oui, non.
Quel est le meilleur site pour un homme qui cherche un lave-vaisselle ?;Un site de rencontres.
Quel est le point commun entre la poitrine d'une femme et un train électrique ?;C’est fait pour les enfants mais c’est papa qui joue avec.
Que dit une bière quand elle tombe dans l'eau ?;Je sais panaché
Deux pommes de terre traversent la route, l'une d'elles se fait écraser;Oh purée !
C’est en forgeant qu’on devient forgeron.;Et c’est en sciant que Léonard devint scie !
Jésus a marché sur l'eau. Une courgette est composé a 98% d'eau. J'ai marché sur une courgette.;je suis à 98% Jésus
Quelle est la différence entre Jésus et un tableau de Picasso ?;Le tableau s'accroche avec un seul clou
Quel oiseau est attiré par le miel ?;L'autruche car à coter il y a une aut'ruche.
Qu'est-ce qu'un tennisman adore faire ?;Rendre des services !
Comment appelle-t-on six prostituées Allemandes ?;Une scie sauteuse Bosch
Quel est le point commun entre un camp de concentration et une maison de retraite ?;Dans les deux cas, les pensionnaires n'en ressortent pas vivants.
Pourquoi quand on vise on ferme un œil ?;Car si on fermait les deux on verrait plus rien.
Qu'est ce qu'un pruneau ?;Un synonyme de personne âgée : qui est ridée et qui fait chier
Quel est la différence entre un marin et un boucher?;Le boucher voit le porc avant les côtes 
"Une jeune soupçonnée de sorcellerie demande à sa mère : ""Pourquoi est-ce qu'on flotte?""";"""Pour la même raison qu'on brûle."""
Comment appelle t-on un chat dans l'espace ?;Un chatellite 
Qu’est-ce qu’un cochon volant ?;Un aéroport.
Quel est le comble pour un porte-charge?;C'est de mal se porter.
Pourquoi méprise-tu les canard ?;Parce qu'à chaque fois que je vais au coin il se moque de moi.
Quel est le point commun entre un mauvais musicien et un cancre? ;Les deux ont de mauvaises notes.
Les peintres utilisent, de l'imagination, de la créativité et...;De la peinture.
Une mère demande à son fils : quel est ton animal préféré?;Le zébu parce qu'on a un point commun.
Que fait un oiseau au dessus d’un camp de concentration ?;cuit cuit !
Mr et madame Sop ont un fils comment s'appelle-t-il ?;Alain
Deux belges se déplacent dans le désert en tenant une portière;J'ai trop chaud ouvre la fenêtre s'il te plaît
Dieu créa la France, un trop beau pays, de belles formes, la mer, l'océan, les montagnes...;Alors pour compenser il a créé le français
Ma b*te, je l’ai appelée la vie.;Parce que la vie est dure...
Qu'est-ce qui est pire qu'un meurtrier ?;Un policier fanatique.
Je suis Tintin, mais je ne suis pas Tintin. Qui suis-je ?;Milou
Qu'est-ce qu'un squelette dans une armoire.;Quelqu'un qui a gagné un cache-cache.
Que disent deux mouettes lorsqu’elles veulent partager quelque chose ?;« On fait mouette-mouette ? »
Que font 1+2-1x2?;Le nombre de jambe d'un manchot.
Quel est la différence entre des pizzas et des juifs ?;Le temps de cuisson.
Quelle est la pire musique pour les juifs ?;En feu, Soprano
Quelle est la vitesse maximale autorisée lors d'un rapport ?;68km/h car à 69..... Ça fait une tête à queue.
"Prof des biologie : ""Que trouve-t-on dans une cellule ?""";Des arabes et des noirs !
Quel est le meilleur ami d'un grand-père ?;Le potager
Que dit-on en Afrique quand un lieu est bondé ?;Il est noir de monde...
Qu'elle est l'insulte la plus utilisée en 1940 après le traité de Vichy ?;Pétain
Tu as aucune référence....;Peut-être car je suis pas à vendre !
Quelle est la tarte préférée des putes ?;La tarte catin
Un français et un arabe sont sur un immeuble. Le quel saute en premier ? ;L’immeuble
Monsieur et madame Cale ont un fils, comment s'appelle t-il?;Medhi
– Maman, maman, je ne veux plus dormir avec mon petit frère.;– Tais-toi ! Je t’ai déjà dit qu’on avait pas assez d’argent pour l’enterrer.
Lors de tes piques-niques;Tu manges avec ou sandwich ?
"Connaissez-vous le slogan ""ça fait du bien par où ça passe"" ?";C'est une pub de suppositoires je crois...
Qu’est ce qui sépare l’espèce humaine du singe ?;La mer Méditerranée.
Que disent deux fesses sur un bateau ?;Dis donc ça commence à ramer du cul
Un médecin félicite le mari d'un couple pour le nouveau né. La femme demande au médecin pourquoi elle n'est pas félicitée.;Quand un plat est réussi, on félicite le cuisinier pas le four !
Mon plus grand défaut est l'honnêteté... Vous pensez le contraire ?;J'en ai rien à foutre de ce que vous pensez
Que chante un juif devant un feu de camp ?;"""Vous les copains je ne vous oublierai jamais !"""
De quelle couleur est le cheval blanc d'Henri IV ?;Jaune, car il s'est pissé dessus
J'ai lu un livre de Victor Hugo.;Il ne devait pas boire que du Fanta à l'apéro celui là...
Ce n'est pas bien de regarder sous les jupes des filles;Il faut regarder sous la culotte
Quel est la différence entre un marin et un boucher ?;Le marin voit les côtes avant le port et le boucher voit le porc avant les côtes.
Un homme à l'hôpital dit à son infirmière : Vous êtes mon infirmière préférée, voudriez-vous passer me voir quand je serai sorti de l'hôpital ?;Je suis désolée, mais j'ai horreur, des cimetières.
Je me présente, je suis Tamayo;Et lui c'est Monketchup ?
Un juif est dans un ascenseur. Soudain, l'homme à côté de lui lâche un gros pet. Le juif le regarde l'air choqué.;Oh, ça va ! C'est du gaz, ça n'a jamais tué personne !
Comment appelle t'on le penis d'un pretre ?;La verite car la verite sors toujours de la bouche des enfants
Que fait un développeur quand il a peur ?;Il csharpe
Ou doit-on prendre le bus pour aller au cimetière ?;En pleine gueule
Connaissez-vous l'histoire du lit escamotable ?;C'est une histoire à faire dormir debout !
Quelle est la marque de biscuit préférée de Brigitte Macron ?;Les petits écoliers
Quel est le point commun entre l'humour noir et la nourriture ? ;Certains en ont, mais d'autres non 
Pourquoi personne ne sait nager au Maroc ?;Par ce que tous ceux qui savent, sont déjà en France.
Un noir va aux toilettes et en ressort blanc, qu'a t'il fait ??;il a chié sa race 
Qu'est ce que deux sourds qui se battent ?;Un malentendu 
On m’a toujours dit que Mozart était mort. ;Pourtant, à chaque fois que j’ouvre mon frigo, Mozart est là... 
J'ai 36 têtes, 28 bras et 12 jambes, qui suis-je ?;Un mythomane
Que fait un zoophile qui veut sauter ? ;Il prend son élan
Comment reconnait-on un aveugle sur une plage naturiste ?;C'est pas dur !
Pourquoi les tirelires sont en forme de cochon ?;Pour que les arabes n'y touchent pas
J'ai vu un enfant sur un vélo, j'ai cru que c'était le mien donc je suis allé vérifier dans le garage... ;Mais je me suis trompé, il était toujours là, enchaîné, à réclamer à boire et à manger 
Que fait on après avoir serré la main d'un lépreux ? ;On la lui rend 
Pourquoi New-York ne peut pas jouer aux échecs ?;Parce qu'il lui manque deux tours
Pourquoi Paris ne peut pas jouer aux échecs ?;Parce qu'il lui manque la Dame
Que fait un prêtre après avoir sodomiser un chauve ?;Il le repose dans son berceau
Pourquoi c'est plus long de faire un bonhomme de neige blonde ?;Parce qu'il faut vider la tête
Combien faut il de blonde pour visser une ampoule ? ;Une qui tien l'ampoule, et quatre qui font tourner la blonde
Bon on joue au poker ou on s'encule ?;Perso j'aime pas trop le poker alors...
Mon Chat est mort... Je voudrais tellement en avoir un autre pareil;Mais qu’est ce que tu ferais de deux chats morts ?
Quel est l'avantage d'être Chinois ?;De pouvoir acheter local n'importe où.
Que faisait les parents de Gilbert Montagne pour le punir ?;Il déplaçaient les meubles
Comment s'appelle la femelle du hamster ? ;Amsterdam
Comment est mort capitaine Crochet ? ;En se grattant les couilles ! 
Comment nintendo ont fais leurs consoles ?;ils ont demandé à une déesse, puis à deux, puis à trois...
Que fait un cendrier devant un ascenseur ?;Il veut des cendres
Que dit une noisette quand elle tombe à l'eau ?;je me noix 
Que faire lorsqu’on trouve un épileptique en crise dans une baignoire ?;Ajouter de la lessive et y jeter son linge sale.
Papa, papa, j’aime pas grand mère…;Bein tu n’as qu’à la laisser sur le bord de l’assiette.
Maman, maman papa c’est pendu dans le jardin !;Poisson d’avril ! il s’est pendu dans le grenier !
Qu'est ce qui est vert et qui pue ?;Un scout mort au fond d’un bois
De quelle couleur sont tes yeux ?;#1292f4 et toi ?
Il y a 10 types de gens dans le monde.;Ceux qui parlent binaire, et les autres.
Que fait un développeur s'il veut se marier ?;Une fille en C
Une blonde et une brune se jettent en bas d'un immeuble de dix étages. Laquelle atteint le sol en premier ? ;La brune, parce que la blonde s'est perdue en chemin
Quel est le comble pour un plombier ?;Que ses clients prennent la fuite !
Que fait un hibou dans une bibliotheque ?;Hibouqine !
À quoi sert Internet Explorer ?;À télécharger Google Chrome.
Tu sais pourquoi l'iPhone 6 se plie ? ;Parce que l'Apple Store.
Comment on appelle un mec qui répare des tablettes Microsoft ?;Un technicien de surface.
Pourquoi dit-on que les poissons travaillent illégalement ?;Parce qu’ils n’ont pas de FISH de paie.
Quel est le bar préféré des espagnols ?;Le bar Celone
Pourquoi est-ce que les vêtements sont toujours fatigués quand ils sortent de la machine ?;Parce qu’ils sont lessivés.
Pourquoi est-ce que les livres ont-ils toujours chaud ?;Parce qu’ils ont une couverture
Qu’est-ce qui est pire que de doigter sa sœur ? ;Y trouver l’alliance de son père.
Qui chante le mieux lors d'une tempête ?;Storm Maé
Qu'est-ce qui est vert, rouge et qui va à 200 km/h ?;Une grenouille dans un mixeur
Que met un développeur sur sa voiture en hiver?;Une bash.
"Hier, j'ai espionné un pote pour savoir son MDP, après quelques coups d'oeil je le vois taper ""PÉNIS""...";"Le PC l'a jugé ""Trop court""..."
Comment appelle t'on un chat compressé ?;Un Kitkat
Comment réparer un téléphone tombé à l'eau ?;Vous le recouvrez de riz dans une boîte hermétique puis laissez passer une nuit, pendant votre sommeil, de petits chinois, attirés par le riz, viendront réparer votre téléphone !
Quelle est la différence entre un cendrier et une théière ?;Le cendrier c'est pour des cendres (descendre), la théière, c'est pour mon thé (monter).
Comment avoir 1 million de followers en Afrique ?;Suffit de courir avec une bouteille d'eau
Pourquoi les chinois ne croient pas au père noël ?;Car c'est eux qui font les jouets
Quelle est la différence entre un livre et un arabe;Le livre a ses papiers
Tout les signe astrologique on des cheveux !;Sauf cancer...
Quelle est la différence entre un bébé et un oignon ?;Pour l'oignon j'ai pleuré quand je l'ai découpé
Un jour quelqu'un a dit a Inch d'aller a Marrakech ...;Et Inch alla !
Comment appelle-t-on une vache qui joue de la musique ?;Une meeuhsiciene.
Qu'est ce qui est mieux que de gagner une médaille d'or aux jeux paralympiques ?;Marcher.
Avec quoi fait-on sortir un bébé d'un mixeur ?;Une paille.
Monsieur et madame China ont un fils, comment s'appelle t-il?;Medhi
Pourquoi Mickael ouvre la porte ?;Parce que Jack-sonne !
M et Mme Bombeurre ont un fils comment s'appelle t-il ?;Jean
Comment appelle-t-on un crime qui a été commis dans la neige?;Un ice cream !
Spiderman grimpe au dessus de mur, Superman vole au dessus...;Et musulman les explose !
"Une blonde appelle son copain: ""Je n'arrive pas à démarrer la voiture !""";Je te l'ai déjà dis cent fois que lorsque ce n'est pas moi qui conduit, tu doit te mettre à gauche !
Pourquoi tous les magiciens sont blanc ?;Parce que la magie noir est interdite !
Ne faites pas l'amour dans votre jardin, l'amour est aveugle...;Mais pas votre voisin.
"Un mec demande à son pote : ""Comment faire pour ne pas commettre les mêmes erreur que mes parents ?""";Mets toujours un préservatif !
"Un femme dis à son mari : ""Je vais faire les courses, demain c'est l'anniversaire de ma mère, tu aurais une idée d'appareil électrique à lui offrir ?""";Pourquoi pas une chaise ?
J'ai suivis deux régimes en même temps...;J'mangeais pas assez avec un seul !
Le soir, un homme lis le journal et dit à sa femme : Dis c'est chaud quand même, une femme s'est faite baiser par 100 personnes, mais où va le monde ? Et sa femme répond : ;Bah dans son cul.
Toto si je te donne 50 gâteaux et tu en manges 48 tu as donc ?;Mal au ventre ! 
Pourquoi les juifs sont-ils toujours propre ?;Parce qu'ils prennent des douches !
Quelle est la différence entre un catcheur et un développeur javascript ?;Le catcheur fait des techniques de catch et le développeur fait des .catch techniques
"Un enfant cannibale reste toujours dans son coin. La maîtresse lui demande : ""Pourquoi ne joues-tu pas avec les autres enfants ?""";Parce que mon père m'a dit de ne pas jouer avec la nourriture.
Pourquoi Hulk a-t-il un beau jardin ?;Parce qu'il a la main verte.
"Un avaleur de sabres entre dans une mercerie : ""Bonjour, je voudrais des aiguilles."", à cela elle répond: ""Ah, vous faites de la couture ?""";Non, je fais un régime !
Pourquoi rejoindre le côté obscur de la force ?;Pasque ils ont des masques et des respirateus artificiels.
Pourquoi est-ce que les fainéants n'ont pas de raison de ne rien faire ?;Ils ont la flemme d'en trouver.
Comment un parachutiste aveugle sait-il qu'il va bientôt atterrir ?;Lorsqu'il s'aperçoit y a du mou à la laisse de son chien
Chéri, préfères-tu les femmes intelligentes ou belles ?;Aucune, car je n'aime que toi.
Comment appelle t-on une entreprise dirigée par une blonde ?;Une Tarte-Up
Pourquoi trouve on beaucoup de célibataires à Dijon ?;Parce que l'amour tarde.
Quelle est la couleur de la grippe ?;Gris pâle.
Que donne un mouton et un cochon qui s'accouplent?;De la Porcelaine.
Qu’est-ce qui est tout rouge et qui tape à la vitre en hurlant ?;Un bébé dans un micro-onde.
Quelle est la seule et unique différence entre un séducteur et un violeur ?;La Patience...
Si un rapeur nique sa mère, que fait un campeur ?;Il monte sa tante !
"Une blonde téléphone à son copain : ""Chéri pourquoi t'as mis le nouveau poisson dans un bocal d'eau ?!""";Il va se noyer !
Quelle est la saison préférée d'un grimpeur ?;L'hiver, car il pleut des cordes.
Quel est le rapport entre l'humour noir et l'eau ?;Tout le monde n'en a pas !
Pourquoi les poissons travaillent tous au black ?;Car ils n'ont pas de fish de paye !
Pourquoi certain pigeons ne savent pas nager.;Parce que les pigeons roucoules.
Une personne appelle la police pour leur dire que deux filles se battaient pour lui. La police lui demande donc quel est le problème.;"Le garçon répond : ""C'est la moche qui gagne !"""
Comment un dev se met-il à jour ?;Il se met à l'apache.
Une requête NoSQL entre dans un bar, qu'est ce qu'elle fait ?;Elle repart, car il n'y a pas de table.
Pourquoi des poissons n'arrivent pas à tenir leur entreprise ?;Parce qu'ils coulent.
Qu'est ce qu'un noir dans une salle noir;Deux sales noir.
4 arabes sont dans une voiture, la voiture sautes dans l'eau que regrette tu ?;Qu'il y en est pas plus dans la voiture.
comment faire rentrer 60 juifs dans une voiture ? ;2 à l'avant 3 à l'arrière et le reste dans le cendrier.
Que fait une biscotte tous les soir ?;Elle va en biscotheque.
Que mettent les souris pour aller danser ? ;Elles mettent du masque à rat.
"""J’apprends mes devoirs"", c’est à quel temps, Toto ?";Du temps perdu Madame.
Des bombardements se succèdent. Où est allé le petit garçon qui se trouvait sur les lieux ?;Partout
Tu connais l’histoire du castré décapité ?;C’est une histoire sans queue ni tête !
Quel est le sport le plus silencieux ?;Le parachute
Les maisons de retraite c'est comme Koh-Lanta;À la fin il en restera qu'un
Pourquoi le jeu Among US est-il autant joué par les filles ?;Parce qu'elles n'ont pas à se battre pour avoir le droit de vote.
Comment s'appelle le cul de la Schtroumpfette ?;Le blu-ray.
Quel est le point commun entre un Gynécologue et un Pizzaiolo ?;Ils peuvent tous les deux sentir ce qu'ils font, mais pas la bouffer !
Quelle est la difference entre une Geox et George Floyd ?;La Geox respire.
Pourquoi un Européen et un Asiatique ne peuvent pas cuisiner ensemble ?;Parce que il y a toujours écrit de séparer les blancs et les jaunes.
Que dit Marine LePen au Capitaine du Bateau sur lequel elle navigue ?;La meilleure méthoque c'est de naviguer à contre Coran !
"Un arabe s'embrouille avec un Francais. Ce dernier lui dit ""Occupe toi de tes affaires !"".";"Le Français repond alors ""Bah rend les moi !""."
Pourquoi un aveugle tutoie ?;Parce qu'il ne vous vois pas.
Pourquoi les pédophiles adorent Halloween ?;Parce que c'est livraison à domicile ce jour-là.
Devinez qu'elle est la différence entre ma femme et mon cancer.;Mon cancer, je ne l'ai toujours pas battu.
Les blagues sur Georges Floyd sont...;...à couper le souffle.
Si 1000 vaches ont le covid;Peut-on dire qu'il y a Milka ?
Quel president bande 2 fois le matin ?;Charles de Gaulle
Le ricard, c'est comme un tsunami;Plus y a d'eau, moins y a de jaune.
Melon et Melèche mangent une glace;Melon prend le cornet et Melèche les boules
Pourquoi les suppositoires sont-ils toujours fatigués ?;Parce qu'ils ont la tête dans le cul
Avant j'étais schizophrène...;Maintenant, nous allons mieux !
Qu'est-ce qui rentre dur et sec et qui ressort mou et mouillé ?;Un chewing-gum
Pourquoi les poulets ont des ailes alors qu'ils ne volent pas ?;Et pourquoi les arabes n'ont pas d'ailes alors qu'ils volent ?
J'aimerais mourir comme mon grand-père : dans son sommeil;Pas en hurlant comme tous les passagers du bus qu'il conduisait.
Le comcombre est conseillé pour améliorer sa mémoire;Car si on te le mets dans le cul, t'es pas prêt de l'oublier
Qu'est-ce que les abeilles aiment le plus dans le mariage ?;La lune de miel.
"Quel est le futur de ""je bâille"" ?";Je dors.
Quel animal sent toujours bon ?;Le mouton, car il a la laine fraîche.
Ce matin, je me suis levé avec l'envie de tout changer;Du coup j'ai changé d'avis et je me suis rendormi.
Quelles sont les deux sœur qui ont la meilleure vue?;Les sœurs jumelles.
Quel est le comble pour un arabe ?;Se faire voler.
Pourquoi la vie s'est comme une boîte de chocolat ?;Parce que ça dure moins longtemps chez les gros !
Quelle est la partie de la voiture la plus dangereuse ?;La conductrice.
Pourquoi les pharaons ont ils 2 fesses?;Parce que AnuBis !
Quel est le comble pour un chauve ?;C'est d'avoir un cheveu sur la langue !
Quelle est la différence entre un Courtier de Wall Street et un Acteur Porno ?;Le courtier a des actions en bourse alors que l'acteur à les bourses en action
Comment appelle t'on une innondation en Afrique ?;Un bol de Chocapic.
Comment dire boujour à un juif ?;Hey ! Ca gaz ?
Tu connais l'homme qui à 5 pénis ?;Apparemment son slip lui va comme un gant
Quelle est la résolution d’un informaticien pour la nouvelle année ?;"Un 19"" pouces"
